,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,vol_gt2,macdh_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,last_max_20s1,last_min_20s1,cum_max,cum_maxs1,cum_min,cum_mins1,cum_min_mins,cum_max_maxs,max_Close_x,max_Close_fill,min_Close,min_Close_fill,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,max_Close_y,Buy,Sell
207,2022-08-31 13:30:00,12457.0,12457.0,12457.0,12457.0,29419.0,1.9010950995925668,0.6035300462403772,1.2975650533521896,54.39420078368688,0,0,12458.1,12454.2625,12454.54,19.82961113299155,28.354035041904734,39.856766116180424,27.224628083125168,y,n,y,n,n,n,12461.0,12445.5,12470.25,12470.25,12407.25,12407.25,nan,nan,12473.25,12473.25,12456.0,12456.0,NaN,NaN,0,0,1,,,,1,208,12473.25,NaN,NaN
208,2022-08-31 13:31:00,12456.0,12456.0,12456.0,12456.0,29479.0,1.6835636867053836,0.30879890668255516,1.3747647800228284,52.14683890139797,0,0,12458.0,12454.425,12454.965,9.79984866886764,28.395722477498925,19.82961113299155,28.354035041904734,y,n,y,n,n,n,12461.0,12445.5,12470.25,12470.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,209,,NaN,NaN
209,2022-08-31 13:32:00,12457.0,12457.0,12457.0,12457.0,29507.0,1.5737192613760271,0.159163585082559,1.4145556762934681,54.18533376209433,0,0,12458.0,12454.5375,12455.355,2.948993915689805,30.22160405621847,9.79984866886764,28.395722477498925,y,n,y,n,n,n,12461.0,12445.5,12470.25,12470.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,210,,NaN,NaN
210,2022-08-31 13:33:00,12460.0,12460.0,12460.0,12460.0,29558.0,1.709040930860283,0.2355882036534518,1.4734527272068312,59.727881061209345,0,0,12458.5,12454.9,12455.8,-2.2559399636599227,32.306429329734875,2.948993915689805,30.22160405621847,y,n,y,n,n,n,12461.0,12445.5,12470.25,12470.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,211,,NaN,NaN
211,2022-08-31 13:34:00,12465.0,12465.0,12465.0,12465.0,29662.0,2.1944463308173,0.5767948828883749,1.617651447928925,66.91248001278615,0,0,12459.3,12455.6125,12456.25,12.1421775334,35.416260508458166,-2.2559399636599227,32.306429329734875,y,n,y,n,n,n,12461.0,12445.5,12470.25,12470.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,212,,NaN,NaN
212,2022-08-31 13:35:00,12471.75,12471.75,12471.75,12471.75,29869.0,3.088203309920573,1.1764414895933182,1.9117618203272546,73.72688659237197,1,0,12460.775,12456.6125,12456.33,36.53508316908164,41.36840729148656,12.1421775334,35.416260508458166,y,y,y,n,n,n,12465.0,12445.5,12471.75,12470.25,12407.25,12407.25,nan,12471.75,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,213,,NaN,NaN
213,2022-08-31 13:36:00,12473.25,12473.25,12473.25,12473.25,29974.0,3.8729051789050573,1.5689146868622421,2.303990492042815,74.96099432523354,1,0,12462.1,12457.7625,12456.39,53.86724826377606,45.507029060914775,36.53508316908164,41.36840729148656,y,y,y,n,n,n,12471.75,12445.5,12473.25,12471.75,12407.25,12407.25,nan,12473.25,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,214,,NaN,NaN
214,2022-08-31 13:37:00,12468.25,12468.25,12468.25,12468.25,30090.0,4.044704020087011,1.3925708224353563,2.6521331976516542,64.14497185796797,0,0,12462.825,12458.8875,12456.51,58.49947590143933,44.36298299080044,53.86724826377606,45.507029060914775,y,y,y,n,n,n,12473.25,12445.5,12473.25,12473.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,215,,NaN,NaN
215,2022-08-31 13:38:00,12465.75,12465.75,12465.75,12465.75,30146.0,3.933780559245861,1.0253178892753652,2.9084626699704956,59.52058537026878,0,0,12463.325,12459.9,12456.615,58.82817631976703,40.84871473357831,58.49947590143933,44.36298299080044,y,y,y,n,n,n,12473.25,12445.5,12473.25,12473.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,216,,NaN,NaN
216,2022-08-31 13:39:00,12459.25,12459.25,12459.25,12459.25,30214.0,3.2835267872560507,0.3000512938284441,2.9834754934276067,49.523740071739475,0,0,12463.325,12460.4,12456.585,49.214178522734045,34.4975516889872,58.82817631976703,40.84871473357831,y,n,y,n,n,n,12473.25,12449.25,12473.25,12473.25,12407.25,12407.25,nan,nan,,12473.25,,12456.0,NaN,NaN,0,0,1,,,,1,217,,NaN,NaN
