,Datetime,bs_test,bss1,bss2,Open,High,Low,Close,Volume,uptrend,bar_no,buysell,ret,count_no,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30
167,2023-03-23 22:34:00,,,,12859.0,12859.25,12857.0,12859.0,115,False,-1.0,,,167,0.9197208918285469,0.5007323628405991,0.41898852898794775,59.396178013887486,0,0
168,2023-03-23 22:36:00,,,,12859.0,12861.5,12858.25,12861.25,164,False,-1.0,,,168,1.248700485613881,0.6637695653007466,0.5849309203131344,63.557252768844094,0,0
169,2023-03-23 22:38:00,,,,12860.75,12862.75,12859.25,12860.75,275,False,-1.0,,,169,1.4523317857529037,0.6939206923518153,0.7584110934010884,62.035818174525225,0,0
170,2023-03-23 22:40:00,,,,12861.0,12865.75,12860.75,12864.75,272,True,1.0,,,170,1.9144095076771919,0.9247987314208828,0.9896107762563091,68.52671759039542,0,0
171,2023-03-23 22:42:00,,,,12865.0,12865.75,12862.0,12863.75,175,True,1.0,,,171,2.174847500549731,0.9481893794347376,1.2266581211149936,65.51113883022616,0,0
172,2023-03-23 22:44:00,,,,12864.0,12866.0,12863.0,12865.5,171,True,1.0,,,172,2.4937109137645166,1.0136422341196183,1.4800686796448983,68.15239349306555,0,0
173,2023-03-23 22:46:00,,,,12864.75,12866.75,12862.0,12863.25,222,True,1.0,,,173,2.535627138773634,0.8444467673029887,1.6911803714706455,61.618504808625104,0,0
174,2023-03-23 22:48:00,,,,12863.75,12864.75,12862.5,12862.5,90,True,1.0,,,174,2.4797423904055904,0.6308496151479559,1.8488927752576345,59.56842775468158,0,0
175,2023-03-23 22:50:00,,,,12863.0,12863.25,12860.75,12862.75,153,True,1.0,,,175,2.4276418907957122,0.46299929243046223,1.96464259836525,60.04561291607367,0,0
176,2023-03-23 22:52:00,,,,12862.75,12863.25,12861.5,12862.25,66,True,1.0,,,176,2.319270936504836,0.2837026705116683,2.0355682659931675,58.557073485728246,0,0
177,2023-03-23 22:54:00,,,,12861.5,12862.0,12856.5,12857.75,335,True,1.0,,,177,1.8489601211895206,-0.14928651584291774,1.9982466370324383,47.21302485430063,0,0
178,2023-03-23 22:56:00,,,,12857.5,12861.25,12857.25,12859.75,188,True,1.0,,,178,1.6189563756142888,-0.3034322091345196,1.9223885847488085,51.692295292734926,0,0
179,2023-03-23 22:58:00,,,,12860.5,12862.5,12860.0,12861.5,110,True,1.0,,,179,1.559905505144343,-0.2899864636835727,1.8498919688279156,55.26899058288254,0,0
180,2023-03-23 23:00:00,,,,12861.5,12861.75,12857.0,12859.0,128,True,1.0,,,180,1.2964336777949939,-0.44276663282633755,1.7392003106213314,49.617218992758005,0,0
181,2023-03-23 23:02:00,,,,12858.5,12860.5,12857.0,12860.5,149,True,1.0,,,181,1.1948938281275332,-0.4354451859950388,1.630339014122572,52.73994058511024,0,0
182,2023-03-23 23:04:00,,,,12860.5,12861.75,12859.0,12859.0,225,True,1.0,,,182,0.9820646715143084,-0.518619474086611,1.5006841456009195,49.43994190951555,0,0
