,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,Buy_n,Buy_loss_limit,Sell_n,Sell_loss_limit,Sell_n_f,Buy_n_f,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
33,2022-11-05 00:33:00,10754.5,10764.25,10752.25,10758.0,593268.0285714286,13.631756113609299,3.0098767732799594,10.62187934032934,55.15093966007672,0,0,69.24956170288218,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
34,2022-11-05 00:34:00,10758.0,10764.25,10753.25,10761.25,594339.0833333334,13.247194150386349,2.100251848045607,11.146942302340742,56.222095814408604,0,0,41.5526131481348,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
35,2022-11-05 00:35:00,10763.25,10767.75,10759.0,10762.25,595372.9428571429,12.874706069223976,1.3822110135065877,11.492495055717388,56.565837508664394,0,0,-44.11859600341786,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
36,2022-11-05 00:36:00,10760.75,10767.0,10757.0,10763.25,596028.6388888889,12.515922460686852,0.8187419239755709,11.697180536711281,56.93003458343823,0,0,-69.74991386688734,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
37,2022-11-05 00:37:00,10763.25,10784.25,10762.5,10782.25,597308.5945945946,13.607862112565272,1.5285452606831917,12.07931685188208,63.23741874504197,0,0,-57.171458208587474,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
38,2022-11-05 00:38:00,10781.0,10785.0,10773.25,10778.75,598812.8888888889,14.0290927559181,1.5598207232288157,12.469272032689284,61.452120570486535,0,0,19.598811324586006,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
39,2022-11-05 00:39:00,10778.75,10789.5,10777.75,10782.75,599780.6111111111,14.51832938240841,1.6392458797753005,12.87908350263311,62.74655396658887,0,0,62.20374992727998,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
40,2022-11-05 00:40:00,10779.0,10779.25,10767.25,10767.25,600907.3714285714,13.499716148093285,0.4965061163681401,13.003210031725144,55.034491081452074,0,0,67.63423920250882,y,y,y,n,y,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
41,2022-11-05 00:41:00,10767.0,10776.75,10765.25,10772.5,602069.7352941176,12.966617846015652,-0.02927374856759357,12.995891594583245,56.963906793430084,0,0,67.83365417791754,y,y,n,y,n,y,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
42,2022-11-05 00:42:00,10772.0,10777.25,10768.75,10768.75,602889.3513513514,12.10203521223957,-0.7150851058749392,12.81712031811451,55.14378878174351,0,0,57.14592646948464,y,y,n,y,n,y,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
